,price,ID,address,prce,lat,lon
31883,846000,118233095,14/8 Trenerry Crescent Abbotsford Vic 3067 ,13.64827463858836,-37.7983233,144.9982473
17220,360000,116156263,5/374 Warrigal Road Cheltenham Vic 3192 ,12.793859310432293,-37.9558256,145.0762216
119,895000,107554852,26a Spicer Street Beaumaris Vic 3193 ,13.704578997256993,-37.9772398,145.0489413
49103,1245000,120359825,31 Sixth Street Parkdale Vic 3195 ,14.034646087880946,-37.9880787,145.0758544
44608,920000,119845429,157 Keele Street Collingwood Vic 3066 ,13.732128949025222,-37.7977286,144.9919837
40983,628000,119440483,88 Noga Avenue Keilor East Vic 3033 ,13.350295445450335,-37.7419306,144.8712514
2628,730000,113102851,21 Hutchinson Street Bentleigh Vic 3204 ,13.500799813124575,-37.9238245,145.0482199
37902,540000,119100011,3/14 Illawarra Road Hawthorn Vic 3122 ,13.199324418540456,-37.837484,145.0390455
49758,1265000,120429521,5 Thomas Street Mitcham Vic 3132 ,14.050582680143757,-37.8128485,145.2006992
31625,1030000,118204079,4 Hay Court Doncaster East Vic 3109 ,13.845069360205818,-37.7557564,145.1750689
42958,340000,119652443,4  Elstree Court Kealba Vic 3021 ,12.736700896592344,-37.7330604,144.822008
24878,1102000,117332467,8/555 Glen Huntly Road Elsternwick Vic 3185 ,13.912637268694997,-37.8838296,144.9975333
28176,465000,117768999,30 Jacaranda Drive Taylors Hill Vic 3037 ,13.049792684569493,-37.7201387,144.7533146
22986,258000,117027915,2/10 Hartley Avenue West Footscray Vic 3012 ,12.460714863903755,-37.7982031,144.8680749
418,500000,111189623,21 Salvana Court Taylors Lakes Vic 3038 ,13.122363377404328,-37.6864469,144.7724832
22692,320000,116982799,7/30 Collins Street Mentone Vic 3194 ,12.676076274775909,-37.9806281,145.0694646
16252,447500,115981195,300 Blackshaws Road Altona North Vic 3025 ,13.011431816697048,-37.8318962,144.8560873
40353,500000,119362931,18 Overland Place Keilor East Vic 3033 ,13.122363377404328,-37.7439786,144.8549909
4923,871000,113771047,12 Victor Avenue Cheltenham Vic 3192 ,13.67739725583464,-37.9702057,145.0475559
19289,345000,116440035,5/79 Yarra Street Abbotsford Vic 3067 ,12.751299696013497,-37.8019084,144.9933713
51371,938000,120616953,25 Bellara Street Doncaster Vic 3108 ,13.751505227988362,-37.7927291,145.1395898
42905,490000,119646475,4/257 O'Hea Street Pascoe Vale South Vic 3044 ,13.102160670086809,-37.7358283,144.9473534
16732,1182000,116061287,7 Aloha Gardens Templestowe Vic 3106 ,13.98271847694818,-37.7634123,145.1550109
18887,1001000,116386719,14 The Corso Parkdale Vic 3195 ,13.816510058297357,-37.9919965,145.0712298
11554,559000,115121987,34 Adele Street Vermont Vic 3133 ,13.233904752137237,-37.8331725,145.2057901
52886,480000,120841913,4/15 Illawarra Road Hawthorn Vic 3122 ,13.081541382884074,-37.837484,145.0390455
29600,679000,117957951,20 Fontaine Street Pascoe Vale South Vic 3044 ,13.428376406540833,-37.7404831,144.9367064
52840,790000,120835009,21 Roseberry Street Ascot Vale Vic 3032 ,13.579788224443204,-37.7748555,144.9140321
31375,360000,118169331,4/34 Rose Street Box Hill Vic 3128 ,12.793859310432293,-37.8227314,145.1288324
14362,482000,115534783,4/3 Keylana Boulevard Mount Waverley Vic 3149 ,13.085699393032737,-37.892992,145.1371492
24076,455000,117200891,4/1 Industry Lane Coburg Vic 3058 ,13.028052697933088,-37.7367097,144.9699816
38310,1105000,119140239,15 Dellas Avenue Templestowe Vic 3106 ,13.91535589293399,-37.7521457,145.1241867
48384,900000,120283665,128 Greenhills Road Bundoora Vic 3083 ,13.710150042306449,-37.6903313,145.0535351
32381,440000,118290319,14 Lancewood Avenue Heidelberg West Vic 3081 ,12.994530005894443,-37.7419304,145.0390132
45322,430000,119916805,2/14 Mitford Street St Kilda Vic 3182 ,12.971540487669746,-37.8719562,144.9816531
46014,395000,119998661,3/29 Golden Avenue Chelsea Vic 3196 ,12.886641043883259,-38.0571251,145.1228791
36085,800000,118887227,170 Separation Street Northcote Vic 3070 ,13.592367006650065,-37.7705145,145.0079699
41969,240000,119550647,21/294 Nicholson Street Seddon Vic 3011 ,12.388394202324129,-37.8094802,144.8980649
6953,250000,114282511,2/230 Ascot Vale Road Ascot Vale Vic 3032 ,12.429216196844383,-37.7770453,144.9231823
45399,820000,119922613,2/165 Lennox Street Richmond Vic 3121 ,13.617059619240436,-37.8158392,144.9950184
27589,380000,117697547,2 Williams Road Laverton Vic 3028 ,12.84792653170257,-37.8601727,144.775959
1333,777500,112628651,66 David Street Hampton Vic 3188 ,13.563838923035526,-37.9433507,145.0184945
26521,800000,117558063,33 South Street Preston Vic 3072 ,13.592367006650065,-37.742059,145.0099189
8267,590000,114548443,25 Elkhorn Way Point Cook Vic 3030 ,13.287877815881902,-37.9079483,144.7472135
36966,1325000,118983439,110 Bonds Road Lower Plenty Vic 3093 ,14.09692301740246,-37.7370111,145.1157509
52871,1260000,120840729,81 Valentine Street Ivanhoe Vic 3079 ,14.04662227892766,-37.7614887,145.0361241
22063,550000,116880223,205/100 Kavanagh Street Southbank Vic 3006 ,13.217673557208654,-37.8232004,144.9651741
51610,620250,120658845,7 Jackson Parade Coburg North Vic 3058 ,13.337877901554048,-37.7336638,144.9803079
4757,437500,113729363,30 Maculata Grove Bundoora Vic 3083 ,12.988831984779805,-37.681757,145.0567105
29062,632000,117896375,2/57 Bluff Road Black Rock Vic 3193 ,13.356644673128994,-37.9650418,145.0183697
9818,325000,114850643,1/1 Anastasia Court Hillside Vic 3037 ,12.691580461311874,-37.7009776,144.7457725
3722,545000,113454395,2/14 Mills Street Hampton Vic 3188 ,13.208541073645382,-37.9364331,145.0095341
8212,400000,114537011,2/14 Vernal Avenue Mitcham Vic 3132 ,12.89921982609012,-37.8284822,145.1967097
36026,990000,118879539,1 Hudson Court Ashburton Vic 3147 ,13.805460222110773,-37.8664716,145.0902185
9589,750000,114812167,20 Newcastle Street Preston Vic 3072 ,13.527828485512494,-37.7515064,145.0118255
35056,471000,118640475,36 Damaine Circuit Caroline Springs Vic 3023 ,13.062613372998555,-37.7323048,144.7357987
7139,660000,114320215,4 Waltham Street Flemington Vic 3031 ,13.399995114002609,-37.7837735,144.9285453
7032,340000,114301163,1/46 Geelong Road Footscray Vic 3011 ,12.736700896592344,-37.8002354,144.8900296
21371,548000,116787415,3/3 Inga Street Oakleigh East Vic 3166 ,13.214030565930152,-37.8997756,145.1156869
8604,500000,114618435,23 Autumn Terrace Clayton South Vic 3169 ,13.122363377404328,-37.9379781,145.1374664
35749,262500,118838739,12/158 Separation Street Northcote Vic 3070 ,12.478006361013815,-37.7701305,145.0056726
31811,343000,118224779,7 Rebecca Court Hillside Vic 3037 ,12.745485726148077,-37.6969996,144.7531247
3529,295000,113403899,339 Swanston Street Melbourne Vic 3000 ,12.594730635321957,-37.810321,144.963948
37264,425000,119015559,122 Betula Avenue Bundoora Vic 3083 ,12.959844447906553,-37.6820104,145.0576919
46824,415000,120096493,6/98 Main Road Lower Plenty Vic 3093 ,12.936033799212835,-37.7250186,145.1190703
15800,900000,115916727,100 Queensville Street Kingsville Vic 3012 ,13.710150042306449,-37.8086466,144.8831425
18393,560000,116306427,101 Nickson Street Bundoora Vic 3083 ,13.235692062711331,-37.6965562,145.0508876
15196,290000,115793991,6/7 Dartford Street Flemington Vic 3031 ,12.577636201962656,-37.7822296,144.9241258
3436,956000,113375335,41 Leopold Street Caulfield South Vic 3162 ,13.770513192033539,-37.900055,145.0341912
6374,625000,114135203,8 Alan Place Warrandyte Vic 3113 ,13.345506928718539,-37.7446521,145.1988224
3633,660500,113431359,6 Gilbert Road Preston Vic 3072 ,13.400752402944518,-37.7508447,144.9882201
12740,1175000,115302947,17 Hudson Street Moonee Ponds Vic 3039 ,13.976778705560397,-37.7644395,144.9104029
31566,780000,118195143,1861 Dandenong Road Oakleigh East Vic 3166 ,13.567049198665774,-37.8961979,145.0981927
30520,747000,118048899,15 Merino Mews Kensington Vic 3031 ,13.523820464114955,-37.7936775,144.9179747
11418,625000,115100755,47 Charming Street Hampton East Vic 3188 ,13.345506928718539,-37.9348932,145.0320506
44758,1338000,119864733,2 Harwood Close Wheelers Hill Vic 3150 ,14.10668651967031,-37.9049588,145.1812034
44953,250000,119881385,5 Egret Court Werribee Vic 3030 ,12.429216196844383,-37.8822817,144.6651659
1287,625000,112601455,1/20 Glen Ebor Avenue Blackburn Vic 3130 ,13.345506928718539,-37.8219207,145.160444
16085,970000,115958419,8 Highview Road Bentleigh East Vic 3165 ,13.785051350479566,-37.929458,145.0642962
30589,620000,118055739,6/86 Main Street Blackburn Vic 3130 ,13.337474757021274,-37.822913,145.1497045
31224,381000,118153687,1/93 Blackshaws Road Newport Vic 3015 ,12.850554654108839,-37.8363456,144.88294
25135,323000,117373763,14/8 Wahroongaa Crescent Murrumbeena Vic 3163 ,12.685407602204794,-37.887826,145.0723319
